listing_id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
241032,11/1/2011,1/2/2016,95,10,10,10,10,9,10,4.07
953595,8/19/2013,12/29/2015,96,10,10,10,10,10,10,1.48
3308979,7/30/2014,9/3/2015,97,10,10,10,10,10,10,1.15
7421966,,,,,,,,,,
278830,7/10/2012,10/24/2015,92,9,9,10,10,9,9,0.89
5956968,6/11/2015,9/28/2015,95,10,10,10,10,10,10,2.45
1909058,1/27/2014,12/7/2015,99,10,10,10,10,10,10,2.46
856550,1/3/2013,1/1/2016,97,10,10,10,10,9,10,4.73
4948745,6/22/2015,8/17/2015,97,10,9,10,9,10,10,1.22
2493658,4/27/2014,12/20/2015,97,10,10,10,10,10,9,1.55
175576,7/21/2011,11/25/2015,97,10,10,10,10,10,10,3.33
4454295,5/6/2015,12/16/2015,97,10,10,9,10,10,9,0.98
3883392,11/9/2014,10/2/2015,98,10,10,10,10,10,10,0.92
8889257,12/16/2015,1/2/2016,100,10,10,9,9,10,10,3
5680462,6/15/2015,11/15/2015,98,9,10,10,10,10,10,2.65
8988178,11/25/2015,11/25/2015,80,8,10,8,8,8,8,0.73
3245876,6/30/2014,1/2/2016,95,10,9,10,10,10,9,4.55
4933447,3/16/2015,11/6/2015,98,10,10,10,10,10,10,4.58
7735464,,,,,,,,,,
6291829,7/7/2015,8/10/2015,85,10,9,9,9,8,8,0.82
9218403,1/3/2016,1/3/2016,100,10,10,10,10,10,10,1
4125779,9/27/2014,10/18/2015,84,9,9,9,9,10,8,0.71
8942678,12/1/2015,12/1/2015,100,10,10,10,10,10,10,0.86
10106055,,,,,,,,,,
6362362,7/20/2015,7/20/2015,100,10,10,10,10,10,10,0.18
3544550,7/4/2015,9/2/2015,100,10,10,9,10,10,10,1.3
9025039,,,,,,,,,,
3200646,7/6/2014,1/2/2016,95,10,10,10,10,9,9,4.38
8859380,10/24/2015,1/2/2016,100,10,10,10,10,10,10,2.47
4520099,1/4/2015,7/25/2015,85,8,9,7,10,9,9,0.33
2481869,5/1/2014,10/11/2015,96,10,10,10,10,10,10,1.86
1110749,6/15/2013,12/21/2015,92,9,9,10,9,10,9,2.18
5978498,7/6/2015,12/3/2015,88,9,9,9,9,10,9,1.31
5021081,8/7/2015,11/12/2015,75,8,9,8,9,9,8,0.99
1686930,10/8/2013,12/7/2015,97,10,10,10,10,10,9,2.27
7680289,8/27/2015,11/29/2015,95,10,10,10,10,10,10,4.35
7207641,8/4/2015,9/3/2015,96,10,10,10,10,10,9,0.97
5062445,5/17/2015,12/8/2015,97,9,8,10,10,10,10,0.9
8925878,10/25/2015,12/18/2015,100,10,10,10,10,10,10,0.83
6389657,7/22/2015,8/19/2015,98,10,10,10,10,10,10,1.98
4218733,10/9/2014,1/1/2016,90,10,8,10,10,10,9,4.7
2715623,6/2/2014,10/29/2015,91,9,10,9,9,10,10,0.46
1392332,7/29/2013,7/31/2015,98,10,10,10,10,10,9,1.38
7308567,7/28/2015,12/31/2015,98,10,10,10,10,10,10,3.35
6575380,8/22/2015,9/20/2015,100,10,10,9,9,10,10,1.99
6004058,4/18/2015,1/2/2016,92,9,9,9,9,9,9,2.29
9550869,,,,,,,,,,
8515408,10/12/2015,12/31/2015,100,10,10,10,10,10,10,1.06
5383192,6/29/2015,6/29/2015,100,8,10,10,10,10,10,0.16
1112092,5/5/2013,12/29/2015,95,10,10,9,10,10,9,0.8
7772661,12/20/2015,12/21/2015,100,10,10,10,10,10,10,2
9254900,,,,,,,,,,
7714294,8/18/2015,9/3/2015,100,10,10,10,10,10,10,0.64
10310373,,,,,,,,,,
9368342,,,,,,,,,,
6361863,5/16/2015,1/1/2016,94,10,10,10,10,10,9,5.64
8105221,9/7/2015,11/29/2015,100,10,10,10,10,10,10,2.5
3269390,6/23/2014,12/28/2015,98,10,10,10,10,10,10,4.12
4566393,,,,,,,,,,
9282409,11/20/2015,12/12/2015,100,10,10,10,10,10,10,1.3
8095168,9/8/2015,9/8/2015,100,10,10,10,10,10,10,0.25
2746782,4/21/2014,12/29/2015,97,10,10,10,10,9,10,5.24
6424982,5/29/2015,1/2/2016,92,9,9,10,10,10,9,7.06
762029,11/5/2012,1/1/2016,97,10,10,10,10,9,10,4.96
8988281,,,,,,,,,,
7077910,8/10/2015,11/29/2015,91,9,9,10,10,10,9,1.82
3772674,8/28/2014,12/14/2015,98,10,10,10,10,10,10,3.94
7021906,9/18/2015,12/16/2015,96,10,10,10,10,10,9,1.38
7618605,8/10/2015,12/1/2015,96,10,10,10,10,10,9,1.01
10234558,,,,,,,,,,
7021702,,,,,,,,,,
7680439,8/12/2015,12/20/2015,93,9,10,10,10,10,10,3.29
4258515,5/25/2015,10/8/2015,77,8,8,9,9,9,8,3.07
1148517,6/13/2013,9/21/2015,97,9,9,10,10,10,9,1.44
2487892,3/26/2014,12/20/2015,94,10,9,10,10,10,10,3.46
3038772,6/2/2014,1/1/2016,94,9,10,10,10,10,10,4.43
699460,10/15/2012,12/18/2015,97,10,10,10,10,10,10,3.85
4085439,9/21/2014,5/29/2015,92,10,10,10,10,10,8,0.38
8053990,8/30/2015,12/13/2015,94,10,10,10,10,10,10,3.75
7011773,,,,,,,,,,
2467550,,,,,,,,,,
2686374,4/14/2014,1/2/2016,95,9,10,10,10,10,9,7.84
1956274,2/20/2014,12/1/2015,100,10,10,10,10,10,10,2.11
8537192,,,,,,,,,,
5919096,5/17/2015,6/1/2015,100,10,10,10,10,10,10,0.26
6516529,,,,,,,,,,
3294243,7/7/2014,10/14/2015,93,10,10,10,10,10,9,1.48
10210971,,,,,,,,,,
3584790,,,,,,,,,,
1266459,7/9/2013,7/17/2015,98,10,10,10,10,9,9,0.3
9098059,,,,,,,,,,
408526,,,,,,,,,,
4118282,10/27/2014,1/2/2016,95,10,10,10,10,9,9,6.07
6813483,7/18/2015,12/26/2015,98,9,10,10,10,10,9,1.75
6590264,7/5/2015,11/13/2015,96,10,10,10,10,9,10,0.82
2650482,9/21/2014,8/7/2015,98,10,10,10,10,10,9,0.64
20927,7/4/2010,12/26/2015,97,10,9,10,10,10,10,3.64
4395578,3/29/2015,3/29/2015,100,10,10,10,10,8,10,0.11
4995903,,,,,,,,,,
5549211,3/15/2015,1/3/2016,98,10,10,10,10,10,10,4.05
8240758,9/30/2015,10/4/2015,80,9,10,10,10,10,9,0.62
6856295,6/18/2015,1/1/2016,97,10,10,10,10,10,10,6.87
6881188,7/5/2015,12/30/2015,96,10,10,10,10,10,9,3.75
1579615,9/5/2013,12/21/2015,98,10,10,10,10,10,10,1.55
3766866,8/11/2014,12/31/2015,97,10,10,10,10,10,9,0.82
2406966,9/23/2014,10/29/2015,100,10,10,10,10,10,10,0.77
4872699,2/2/2015,2/2/2015,100,8,10,10,10,10,8,0.09
5470629,5/29/2015,12/20/2015,99,10,10,10,10,10,10,3.39
2950213,6/14/2014,11/2/2015,95,10,9,10,10,10,9,1.84
9015088,11/28/2015,1/2/2016,100,10,10,10,10,10,10,3.95
3979496,8/30/2014,11/7/2015,95,10,10,10,10,10,10,1.89
7501919,8/5/2015,10/11/2015,97,8,10,10,10,10,9,1.37
4732995,8/14/2015,12/20/2015,95,10,9,10,10,10,10,0.83
7134759,9/3/2015,12/19/2015,98,10,10,10,10,10,10,3.87
4532538,1/1/2016,1/1/2016,100,10,10,10,10,10,10,1
7534398,10/26/2015,12/21/2015,100,10,10,10,10,10,10,3.38
9387189,12/5/2015,12/5/2015,100,10,10,10,10,10,10,1
6337492,5/19/2015,10/10/2015,92,9,8,9,10,10,10,0.65
10231701,,,,,,,,,,
1609922,10/14/2013,11/29/2015,94,10,9,10,10,10,9,0.96
4236723,10/12/2014,1/2/2016,94,9,9,10,10,10,9,7.53
7843837,,,,,,,,,,
3076065,1/2/2015,9/21/2015,96,10,10,9,10,10,9,1.22
6423204,5/25/2015,12/27/2015,91,9,9,10,10,9,9,5.87
8338849,9/17/2015,9/30/2015,94,10,10,10,10,10,10,1.91
6401209,6/29/2015,12/28/2015,97,10,10,10,10,10,10,2.05
20928,6/7/2015,12/23/2015,97,10,10,10,10,10,10,6.23
3344977,7/13/2014,10/25/2015,96,10,10,10,10,10,10,3.11
7604621,10/4/2015,12/23/2015,95,10,10,9,10,10,9,3.55
3303978,7/28/2014,12/28/2015,98,10,10,10,10,10,10,2.22
7067082,7/10/2015,9/28/2015,90,9,9,10,10,10,9,1.68
3121829,7/22/2014,12/30/2015,90,10,10,9,9,10,9,0.34
2539881,5/25/2014,11/29/2015,85,8,8,10,10,10,10,0.2
3678718,8/16/2014,12/18/2015,96,10,10,10,10,10,10,4.67
4694479,3/29/2015,12/14/2015,96,10,10,10,10,10,10,5.32
6646843,8/13/2015,12/28/2015,89,10,9,10,10,10,9,5.79
1364440,8/9/2013,9/26/2015,100,10,10,10,10,9,10,0.68
1781873,3/9/2014,12/1/2015,92,10,9,10,10,9,9,2.56
4138423,10/25/2014,12/20/2015,94,10,9,10,10,9,9,2.61
5562674,3/15/2015,12/13/2015,95,10,10,10,10,10,9,7.2
1789341,4/20/2014,11/28/2015,99,10,10,10,10,10,10,0.82
4672934,1/2/2015,1/2/2016,98,10,10,10,10,10,10,1.06
4550099,11/29/2014,5/26/2015,93,9,7,9,10,9,8,0.22
1198799,3/1/2015,1/1/2016,98,10,10,10,10,10,10,1.84
5308429,2/12/2015,1/2/2016,99,10,10,10,10,10,10,1.65
2769088,5/26/2014,8/11/2015,71,8,6,9,9,9,7,0.61
7603135,8/17/2015,9/21/2015,95,10,10,9,10,10,10,0.85
9374365,11/13/2015,12/30/2015,97,10,10,10,10,10,10,3.96
6106498,5/5/2015,10/12/2015,97,10,10,10,10,9,10,2.82
9331449,12/7/2015,12/14/2015,90,10,8,10,10,10,9,2
8799162,,,,,,,,,,
4317390,11/23/2014,12/21/2015,95,10,10,9,10,10,9,2.87
3884851,8/25/2014,1/2/2016,96,10,10,10,10,10,10,3.86
3155785,8/11/2015,9/7/2015,80,10,8,9,9,9,9,0.82
9368517,,,,,,,,,,
5643240,6/20/2015,12/4/2015,90,10,9,10,10,10,10,1.21
5042014,2/2/2015,10/26/2015,97,10,10,10,10,10,10,1.25
7724630,9/27/2015,9/27/2015,100,8,8,10,10,10,8,0.3
9449437,,,,,,,,,,
3053237,5/19/2014,12/2/2015,99,10,10,10,10,9,10,4.28
8132347,,,,,,,,,,
63733,4/23/2011,12/30/2015,97,10,10,10,10,10,10,2.18
2039149,1/30/2014,12/21/2015,91,9,9,10,10,9,9,5.15
227636,11/9/2011,12/29/2015,97,10,10,10,10,9,10,2.59
3689119,8/8/2014,1/2/2016,98,10,10,10,10,10,10,2.85
1179538,11/20/2015,12/1/2015,100,10,10,10,10,8,8,1.3
6823781,6/23/2015,11/29/2015,95,10,10,10,10,10,10,4.29
2284536,2/23/2014,12/20/2015,92,9,9,10,10,10,9,4.89
5143441,2/13/2015,12/18/2015,97,10,10,10,10,10,10,4.51
5749958,5/3/2015,10/5/2015,96,10,10,10,10,10,10,3.4
9116815,,,,,,,,,,
7731836,12/11/2015,12/27/2015,100,10,10,10,10,9,9,3
10262971,,,,,,,,,,
1407502,6/12/2014,12/2/2014,89,8,9,9,9,9,9,0.47
8817038,10/28/2015,12/28/2015,97,10,10,10,10,10,10,5.22
4449303,3/12/2015,12/23/2015,95,10,10,10,10,10,9,5.02
8255615,9/21/2015,12/1/2015,100,10,10,9,10,10,10,0.85
4053092,10/6/2014,10/6/2015,98,10,10,10,10,10,10,1.58
6886633,6/19/2015,12/18/2015,95,10,10,10,10,9,10,12.15
8820414,,,,,,,,,,
3052151,6/1/2014,7/30/2015,85,8,7,9,9,9,8,0.98
2339333,6/29/2015,7/28/2015,100,10,10,10,10,9,9,0.95
1618842,1/15/2014,12/15/2015,99,10,10,10,10,10,10,4.79
888967,3/31/2013,12/1/2015,99,10,10,10,10,10,10,2.14
380950,6/25/2012,9/14/2015,84,8,9,10,10,9,8,0.28
8097708,9/9/2015,9/9/2015,100,10,10,10,10,10,10,0.25
5671843,3/30/2015,12/1/2015,95,10,9,10,10,10,10,3.31
904057,2/19/2013,12/19/2015,97,10,10,10,10,10,10,3.57
7161725,7/20/2015,9/20/2015,97,9,10,10,10,10,10,1.24
9587410,12/24/2015,1/3/2016,100,10,10,10,10,10,10,2
9202380,,,,,,,,,,
2238105,2/16/2014,12/28/2015,97,10,10,10,10,10,9,2.7
9545766,,,,,,,,,,
2441908,3/3/2014,12/29/2015,98,10,10,10,10,10,10,3.3
9367465,12/1/2015,12/1/2015,100,10,10,10,10,10,10,0.86
3031415,6/14/2014,12/26/2015,95,10,9,10,10,10,9,5.63
843812,3/11/2013,10/20/2015,96,10,10,10,10,9,10,0.29
3835995,8/14/2014,12/23/2015,96,10,10,10,10,10,10,9.14
