id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights
241032,$85.00 ,,,,,2,$5.00 ,1,365
953595,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,90
3308979,$975.00 ,,,"$1,000.00 ",$300.00 ,10,$25.00 ,4,30
7421966,$100.00 ,$650.00 ,"$2,300.00 ",,,1,$0.00 ,1,1125
278830,$450.00 ,,,$700.00 ,$125.00 ,6,$15.00 ,1,1125
5956968,$120.00 ,$800.00 ,,,$40.00 ,1,$30.00 ,1,6
1909058,$80.00 ,$575.00 ,,$150.00 ,,1,$10.00 ,3,14
856550,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7
4948745,$90.00 ,$500.00 ,"$1,700.00 ",,,1,$0.00 ,3,1125
2493658,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,365
175576,$95.00 ,$595.00 ,,,$15.00 ,2,$15.00 ,3,7
4454295,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125
3883392,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14
8889257,$165.00 ,,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125
5680462,$461.00 ,,,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29
8988178,$109.00 ,,,,$89.00 ,1,$0.00 ,3,15
3245876,$66.00 ,,,$100.00 ,$35.00 ,1,$25.00 ,1,10
4933447,$99.00 ,,,$100.00 ,$15.00 ,1,$0.00 ,2,14
7735464,$200.00 ,,,,,1,$0.00 ,1,1125
6291829,$700.00 ,"$4,100.00 ",,$500.00 ,$250.00 ,1,$0.00 ,3,30
9218403,$110.00 ,$750.00 ,"$2,500.00 ",,,1,$0.00 ,1,1125
4125779,$99.00 ,$568.00 ,"$2,029.00 ",,$15.00 ,1,$10.00 ,1,1125
8942678,$450.00 ,"$3,000.00 ",,,,1,$0.00 ,4,1125
10106055,$75.00 ,$350.00 ,,,,1,$0.00 ,1,1125
6362362,$600.00 ,,,$500.00 ,$150.00 ,1,$0.00 ,3,1125
3544550,$450.00 ,,,$500.00 ,$200.00 ,6,$50.00 ,4,1125
9025039,$150.00 ,,,$250.00 ,$35.00 ,1,$0.00 ,1,1125
3200646,$45.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7
8859380,$300.00 ,,,$500.00 ,$125.00 ,1,$0.00 ,2,1125
4520099,$80.00 ,$500.00 ,,,$65.00 ,3,$50.00 ,2,1125
2481869,$175.00 ,"$1,000.00 ","$3,200.00 ",,$40.00 ,1,$0.00 ,2,365
1110749,$325.00 ,,,$500.00 ,$100.00 ,6,$60.00 ,2,1125
5978498,$175.00 ,$699.00 ,"$2,388.00 ",$200.00 ,$80.00 ,1,$0.00 ,4,120
5021081,$222.00 ,"$1,325.00 ","$4,650.00 ",$500.00 ,$250.00 ,7,$75.00 ,2,1125
1686930,$159.00 ,,,$250.00 ,$99.00 ,1,$0.00 ,1,1125
7680289,$125.00 ,$800.00 ,"$2,700.00 ",,$50.00 ,2,$25.00 ,2,365
7207641,$348.00 ,"$2,500.00 ",,$750.00 ,$150.00 ,6,$20.00 ,3,1125
5062445,$45.00 ,$450.00 ,"$1,500.00 ",,,1,$0.00 ,1,1125
8925878,$150.00 ,$950.00 ,"$2,950.00 ",,$50.00 ,2,$25.00 ,2,365
6389657,$80.00 ,,,,$20.00 ,1,$0.00 ,3,1125
4218733,$110.00 ,,,$100.00 ,$40.00 ,2,$15.00 ,2,1125
2715623,$148.00 ,,,,$100.00 ,2,$20.00 ,3,365
1392332,$350.00 ,"$2,100.00 ",,$500.00 ,$100.00 ,4,$0.00 ,2,30
7308567,$150.00 ,,,,$50.00 ,1,$0.00 ,2,1125
6575380,$150.00 ,$540.00 ,"$1,911.00 ",,,1,$0.00 ,1,1125
6004058,$100.00 ,,,,,1,$0.00 ,1,1125
9550869,$349.00 ,,,,$200.00 ,1,$0.00 ,1,1125
8515408,$110.00 ,$700.00 ,,,$50.00 ,1,$0.00 ,2,1125
5383192,$160.00 ,"$1,140.00 ",,$100.00 ,$55.00 ,2,$25.00 ,2,1125
1112092,$130.00 ,"$1,000.00 ","$2,700.00 ",$140.00 ,$75.00 ,2,$25.00 ,3,1125
7772661,$99.00 ,,,,$50.00 ,2,$50.00 ,1,1125
9254900,$100.00 ,,"$2,000.00 ",,$40.00 ,1,$0.00 ,1,1125
7714294,$137.00 ,$815.00 ,,,$20.00 ,2,$20.00 ,2,1125
10310373,$20.00 ,,,,,1,$0.00 ,1,1125
9368342,$150.00 ,,,$500.00 ,$50.00 ,2,$30.00 ,4,1125
6361863,$145.00 ,,,$100.00 ,$30.00 ,2,$10.00 ,2,1125
8105221,$80.00 ,,,,,1,$0.00 ,1,1125
3269390,$95.00 ,,,$200.00 ,$60.00 ,1,$0.00 ,3,1125
4566393,$400.00 ,"$2,100.00 ","$7,500.00 ",$750.00 ,$120.00 ,4,$20.00 ,2,1125
9282409,$85.00 ,$450.00 ,,,,1,$0.00 ,2,1125
8095168,$70.00 ,,,,$20.00 ,1,$0.00 ,1,1125
2746782,$90.00 ,$540.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,14
6424982,$80.00 ,,,,,2,$15.00 ,1,6
762029,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,2,$0.00 ,2,7
8988281,$175.00 ,,,$250.00 ,$78.00 ,4,$50.00 ,1,15
7077910,$170.00 ,"$1,195.00 ","$3,195.00 ",$250.00 ,$100.00 ,6,$100.00 ,4,1125
3772674,$85.00 ,$650.00 ,,,$50.00 ,2,$20.00 ,3,1125
7021906,$465.00 ,"$3,035.00 ","$12,140.00 ","$1,000.00 ",$250.00 ,1,$0.00 ,3,1125
7618605,$175.00 ,,,$250.00 ,$50.00 ,1,$0.00 ,1,1125
10234558,$50.00 ,,,,,0,$0.00 ,1,1125
7021702,$60.00 ,,,,,1,$0.00 ,1,1125
7680439,$59.00 ,$351.00 ,,,$12.00 ,1,$0.00 ,1,1125
